,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1630219,00,0,8,0,2.8,0.6,0.8,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.3,0.0,0.1,0.1,1.3
0,203468,00,0,58,48,35.2,7.7,17.6,0.437,2.2,5.8,0.384,2.5,3.2,0.77,0.8,3.5,4.2,2.8,0.8,0.4,1.9,2.4,20.1
0,204456,00,0,22,2,11.7,1.8,3.2,0.563,0.1,0.1,0.667,0.2,0.3,0.571,0.3,1.4,1.7,1.9,0.4,0.0,0.4,1.0,3.9
0,1630183,00,0,1,0,25.4,5.0,6.0,0.833,2.0,3.0,0.667,3.0,4.0,0.75,4.0,3.0,7.0,2.0,1.0,3.0,2.0,5.0,15.0
0,203926,00,0,15,0,10.6,1.1,3.1,0.348,0.7,2.1,0.313,0.3,0.4,0.667,0.3,0.7,1.0,0.5,0.1,0.1,0.2,0.5,3.1
0,201580,00,0,63,23,12.7,2.3,3.9,0.602,0.0,0.1,0.0,0.8,1.4,0.539,1.6,2.4,4.0,0.4,0.3,1.1,0.7,1.9,5.4
0,203585,00,0,9,0,3.5,0.4,1.0,0.444,0.2,0.6,0.4,0.0,0.0,0.0,0.1,0.8,0.9,0.2,0.0,0.0,0.0,0.3,1.1
0,1629162,00,0,1,0,9.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
0,203463,00,0,15,0,11.0,1.1,3.3,0.347,1.1,2.8,0.381,0.0,0.0,0.0,0.2,1.0,1.2,0.5,0.3,0.0,0.3,0.9,3.3
0,1629001,00,0,6,0,16.3,2.0,5.8,0.343,1.0,3.8,0.261,0.5,0.8,0.6,0.7,2.2,2.8,1.0,0.3,0.7,0.5,1.5,5.5
0,203114,00,0,68,68,37.8,7.2,16.6,0.434,2.5,6.4,0.386,3.2,3.7,0.862,0.7,5.6,6.3,4.6,1.3,0.2,2.7,3.0,20.1
0,201988,00,0,91,11,16.0,2.4,5.5,0.431,1.3,3.3,0.382,0.7,0.8,0.8,0.2,1.3,1.5,1.7,0.5,0.0,0.7,1.2,6.7
0,200794,00,0,129,75,27.5,4.4,9.6,0.457,0.5,1.8,0.286,2.9,4.0,0.726,2.2,4.6,6.8,1.7,0.9,1.1,1.6,2.9,12.2
0,1629003,00,0,17,4,15.3,2.3,5.6,0.411,1.1,2.6,0.422,1.4,1.5,0.92,0.1,1.3,1.4,1.3,0.4,0.1,1.0,1.8,7.1
0,1628378,00,0,34,34,36.9,9.9,22.8,0.433,3.6,9.1,0.393,5.6,6.5,0.864,0.8,4.3,5.1,4.6,1.3,0.3,3.3,2.5,28.9
